Indicator Name,Indicator Code,Indicator Name and Definition
Child employment in services (% of economically active children ages 7-14),SL.SRV.0714.ZS,SL.SRV.0714.ZS - Child employment in services (% of economically active children ages 7-14)
"Child employment in services, female (% of female economically active children ages 7-14)",SL.SRV.0714.FE.ZS,"SL.SRV.0714.FE.ZS - Child employment in services, female (% of female economically active children ages 7-14)"
"Child employment in services, male (% of male economically active children ages 7-14)",SL.SRV.0714.MA.ZS,"SL.SRV.0714.MA.ZS - Child employment in services, male (% of male economically active children ages 7-14)"
Children (0-14) living with HIV,SH.HIV.0014,SH.HIV.0014 - Children (0-14) living with HIV
Children (ages 0-14) newly infected with HIV,SH.HIV.INCD.14,SH.HIV.INCD.14 - Children (ages 0-14) newly infected with HIV
"Children in employment, female (% of female children ages 7-14)",SL.TLF.0714.FE.ZS,"SL.TLF.0714.FE.ZS - Children in employment, female (% of female children ages 7-14)"
"Children in employment, male (% of male children ages 7-14)",SL.TLF.0714.MA.ZS,"SL.TLF.0714.MA.ZS - Children in employment, male (% of male children ages 7-14)"
"Children in employment, self-employed (% of children in employment, ages 7-14)",SL.SLF.0714.ZS,"SL.SLF.0714.ZS - Children in employment, self-employed (% of children in employment, ages 7-14)"
"Children in employment, self-employed, female (% of female children in employment, ages 7-14)",SL.SLF.0714.FE.ZS,"SL.SLF.0714.FE.ZS - Children in employment, self-employed, female (% of female children in employment, ages 7-14)"
"Children in employment, self-employed, male (% of male children in employment, ages 7-14)",SL.SLF.0714.MA.ZS,"SL.SLF.0714.MA.ZS - Children in employment, self-employed, male (% of male children in employment, ages 7-14)"
"Children in employment, study and work (% of children in employment, ages 7-14)",SL.TLF.0714.SW.ZS,"SL.TLF.0714.SW.ZS - Children in employment, study and work (% of children in employment, ages 7-14)"
"Children in employment, study and work, female (% of female children in employment, ages 7-14)",SL.TLF.0714.SW.FE.ZS,"SL.TLF.0714.SW.FE.ZS - Children in employment, study and work, female (% of female children in employment, ages 7-14)"
"Children in employment, study and work, male (% of male children in employment, ages 7-14)",SL.TLF.0714.SW.MA.ZS,"SL.TLF.0714.SW.MA.ZS - Children in employment, study and work, male (% of male children in employment, ages 7-14)"
"Children in employment, total (% of children ages 7-14)",SL.TLF.0714.ZS,"SL.TLF.0714.ZS - Children in employment, total (% of children ages 7-14)"
"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",SL.FAM.0714.ZS,"SL.FAM.0714.ZS - Children in employment, unpaid family workers (% of children in employment, ages 7-14)"
"Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)",SL.FAM.0714.FE.ZS,"SL.FAM.0714.FE.ZS - Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)"
"Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)",SL.FAM.0714.MA.ZS,"SL.FAM.0714.MA.ZS - Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)"
"Children in employment, wage workers (% of children in employment, ages 7-14)",SL.WAG.0714.ZS,"SL.WAG.0714.ZS - Children in employment, wage workers (% of children in employment, ages 7-14)"
"Children in employment, wage workers, female (% of female children in employment, ages 7-14)",SL.WAG.0714.FE.ZS,"SL.WAG.0714.FE.ZS - Children in employment, wage workers, female (% of female children in employment, ages 7-14)"
"Children in employment, wage workers, male (% of male children in employment, ages 7-14)",SL.WAG.0714.MA.ZS,"SL.WAG.0714.MA.ZS - Children in employment, wage workers, male (% of male children in employment, ages 7-14)"
"Children in employment, work only (% of children in employment, ages 7-14)",SL.TLF.0714.WK.ZS,"SL.TLF.0714.WK.ZS - Children in employment, work only (% of children in employment, ages 7-14)"
"Children in employment, work only, female (% of female children in employment, ages 7-14)",SL.TLF.0714.WK.FE.ZS,"SL.TLF.0714.WK.FE.ZS - Children in employment, work only, female (% of female children in employment, ages 7-14)"
"Children in employment, work only, male (% of male children in employment, ages 7-14)",SL.TLF.0714.WK.MA.ZS,"SL.TLF.0714.WK.MA.ZS - Children in employment, work only, male (% of male children in employment, ages 7-14)"
Children out of school (% of primary school age),SE.PRM.UNER.ZS,SE.PRM.UNER.ZS - Children out of school (% of primary school age)
"Children out of school, female (% of female primary school age)",SE.PRM.UNER.FE.ZS,"SE.PRM.UNER.FE.ZS - Children out of school, female (% of female primary school age)"
"Children out of school, male (% of male primary school age)",SE.PRM.UNER.MA.ZS,"SE.PRM.UNER.MA.ZS - Children out of school, male (% of male primary school age)"
"Children out of school, primary",SE.PRM.UNER,"SE.PRM.UNER - Children out of school, primary"
"Children out of school, primary, female",SE.PRM.UNER.FE,"SE.PRM.UNER.FE - Children out of school, primary, female"
"Children out of school, primary, male",SE.PRM.UNER.MA,"SE.PRM.UNER.MA - Children out of school, primary, male"
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,SH.MLR.TRET.ZS - Children with fever receiving antimalarial drugs (% of children under age 5 with fever)
Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3,FM.AST.CGOV.ZG.M3 - Claims on central government (annual growth as % of broad money)
"Claims on central government, etc. (% GDP)",FS.AST.CGOV.GD.ZS,"FS.AST.CGOV.GD.ZS - Claims on central government, etc. (% GDP)"
Claims on other sectors of the domestic economy (% of GDP),FS.AST.DOMO.GD.ZS,FS.AST.DOMO.GD.ZS - Claims on other sectors of the domestic economy (% of GDP)
Claims on other sectors of the domestic economy (annual growth as % of broad money),FM.AST.DOMO.ZG.M3,FM.AST.DOMO.ZG.M3 - Claims on other sectors of the domestic economy (annual growth as % of broad money)
Claims on private sector (annual growth as % of broad money),FM.AST.PRVT.ZG.M3,FM.AST.PRVT.ZG.M3 - Claims on private sector (annual growth as % of broad money)
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,NY.GDP.COAL.RT.ZS - Coal rents (% of GDP)
Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,EG.USE.CRNW.ZS - Combustible renewables and waste (% of total energy)
"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,"FB.CBK.BRCH.P5 - Commercial bank branches (per 100,000 adults)"
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,"DT.NFL.PCBO.CD - Commercial banks and other lending (PPG + PNG) (NFL, current US$)"
Commercial service exports (current US$),TX.VAL.SERV.CD.WT,TX.VAL.SERV.CD.WT - Commercial service exports (current US$)
Commercial service imports (current US$),TM.VAL.SERV.CD.WT,TM.VAL.SERV.CD.WT - Commercial service imports (current US$)
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,"BX.GSR.CMCP.ZS - Communications, computer, etc. (% of service exports, BoP)"
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,"BM.GSR.CMCP.ZS - Communications, computer, etc. (% of service imports, BoP)"
"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,"SH.MED.CMHW.P3 - Community health workers (per 1,000 people)"
Compensation of employees (% of expense),GC.XPN.COMP.ZS,GC.XPN.COMP.ZS - Compensation of employees (% of expense)
Compensation of employees (current LCU),GC.XPN.COMP.CN,GC.XPN.COMP.CN - Compensation of employees (current LCU)
Completeness of birth registration (%),SP.REG.BRTH.ZS,SP.REG.BRTH.ZS - Completeness of birth registration (%)
"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,"SP.REG.BRTH.FE.ZS - Completeness of birth registration, female (%)"
"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,"SP.REG.BRTH.MA.ZS - Completeness of birth registration, male (%)"
"Completeness of birth registration, rural (%)",SP.REG.BRTH.RU.ZS,"SP.REG.BRTH.RU.ZS - Completeness of birth registration, rural (%)"
"Completeness of birth registration, urban (%)",SP.REG.BRTH.UR.ZS,"SP.REG.BRTH.UR.ZS - Completeness of birth registration, urban (%)"
Completeness of death registration with cause-of-death information (%),SP.REG.DTHS.ZS,SP.REG.DTHS.ZS - Completeness of death registration with cause-of-death information (%)
"Compulsory education, duration (years)",SE.COM.DURS,"SE.COM.DURS - Compulsory education, duration (years)"
"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,"TX.VAL.OTHR.ZS.WT - Computer, communications and other services (% of commercial service exports)"
"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,"TM.VAL.OTHR.ZS.WT - Computer, communications and other services (% of commercial service imports)"
"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS,"SH.CON.1524.FE.ZS - Condom use, population ages 15-24, female (% of females ages 15-24)"
"Condom use, population ages 15-24, male (% of males ages 15-24)",SH.CON.1524.MA.ZS,"SH.CON.1524.MA.ZS - Condom use, population ages 15-24, male (% of males ages 15-24)"
Consumer price index (2010 = 100),FP.CPI.TOTL,FP.CPI.TOTL - Consumer price index (2010 = 100)
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,SN.ITK.SALT.ZS - Consumption of iodized salt (% of households)
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,IS.SHP.GOOD.TU - Container port traffic (TEU: 20 foot equivalent units)
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,"SP.DYN.CONU.ZS - Contraceptive prevalence, any method (% of married women ages 15-49)"
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,"SP.DYN.CONM.ZS - Contraceptive prevalence, any modern method (% of married women ages 15-49)"
"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS,"SL.FAM.WORK.FE.ZS - Contributing family workers, female (% of female employment) (modeled ILO estimate)"
"Contributing family workers, male (% of male employment) (modeled ILO estimate)",SL.FAM.WORK.MA.ZS,"SL.FAM.WORK.MA.ZS - Contributing family workers, male (% of male employment) (modeled ILO estimate)"
"Contributing family workers, total (% of total employment) (modeled ILO estimate)",SL.FAM.WORK.ZS,"SL.FAM.WORK.ZS - Contributing family workers, total (% of total employment) (modeled ILO estimate)"
Control of Corruption: Estimate,CC.EST,CC.EST - Control of Corruption: Estimate
Control of Corruption: Number of Sources,CC.NO.SRC,CC.NO.SRC - Control of Corruption: Number of Sources
Control of Corruption: Percentile Rank,CC.PER.RNK,CC.PER.RNK - Control of Corruption: Percentile Rank
"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,"CC.PER.RNK.LOWER - Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval"
"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,"CC.PER.RNK.UPPER - Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval"
Control of Corruption: Standard Error,CC.STD.ERR,CC.STD.ERR - Control of Corruption: Standard Error
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,IC.REG.COST.PC.ZS - Cost of business start-up procedures (% of GNI per capita)
"Cost of business start-up procedures, female (% of GNI per capita)",IC.REG.COST.PC.FE.ZS,"IC.REG.COST.PC.FE.ZS - Cost of business start-up procedures, female (% of GNI per capita)"
"Cost of business start-up procedures, male (% of GNI per capita)",IC.REG.COST.PC.MA.ZS,"IC.REG.COST.PC.MA.ZS - Cost of business start-up procedures, male (% of GNI per capita)"
"Cost to export, border compliance (US$)",IC.EXP.CSBC.CD,"IC.EXP.CSBC.CD - Cost to export, border compliance (US$)"
"Cost to export, documentary compliance (US$)",IC.EXP.CSDC.CD,"IC.EXP.CSDC.CD - Cost to export, documentary compliance (US$)"
"Cost to import, border compliance (US$)",IC.IMP.CSBC.CD,"IC.IMP.CSBC.CD - Cost to import, border compliance (US$)"
"Cost to import, documentary compliance (US$)",IC.IMP.CSDC.CD,"IC.IMP.CSDC.CD - Cost to import, documentary compliance (US$)"
Coverage of social insurance programs (% of population),per_si_allsi.cov_pop_tot,per_si_allsi.cov_pop_tot - Coverage of social insurance programs (% of population)
Coverage of social insurance programs in 2nd quintile (% of population),per_si_allsi.cov_q2_tot,per_si_allsi.cov_q2_tot - Coverage of social insurance programs in 2nd quintile (% of population)
Coverage of social insurance programs in 3rd quintile (% of population),per_si_allsi.cov_q3_tot,per_si_allsi.cov_q3_tot - Coverage of social insurance programs in 3rd quintile (% of population)
Coverage of social insurance programs in 4th quintile (% of population),per_si_allsi.cov_q4_tot,per_si_allsi.cov_q4_tot - Coverage of social insurance programs in 4th quintile (% of population)
Coverage of social insurance programs in poorest quintile (% of population),per_si_allsi.cov_q1_tot,per_si_allsi.cov_q1_tot - Coverage of social insurance programs in poorest quintile (% of population)
Coverage of social insurance programs in richest quintile (% of population),per_si_allsi.cov_q5_tot,per_si_allsi.cov_q5_tot - Coverage of social insurance programs in richest quintile (% of population)
Coverage of social protection and labor programs (% of population),per_allsp.cov_pop_tot,per_allsp.cov_pop_tot - Coverage of social protection and labor programs (% of population)
Coverage of social safety net programs (% of population),per_sa_allsa.cov_pop_tot,per_sa_allsa.cov_pop_tot - Coverage of social safety net programs (% of population)
Coverage of social safety net programs in 2nd quintile (% of population),per_sa_allsa.cov_q2_tot,per_sa_allsa.cov_q2_tot - Coverage of social safety net programs in 2nd quintile (% of population)
Coverage of social safety net programs in 3rd quintile (% of population),per_sa_allsa.cov_q3_tot,per_sa_allsa.cov_q3_tot - Coverage of social safety net programs in 3rd quintile (% of population)
Coverage of social safety net programs in 4th quintile (% of population),per_sa_allsa.cov_q4_tot,per_sa_allsa.cov_q4_tot - Coverage of social safety net programs in 4th quintile (% of population)
Coverage of social safety net programs in poorest quintile (% of population),per_sa_allsa.cov_q1_tot,per_sa_allsa.cov_q1_tot - Coverage of social safety net programs in poorest quintile (% of population)
Coverage of social safety net programs in richest quintile (% of population),per_sa_allsa.cov_q5_tot,per_sa_allsa.cov_q5_tot - Coverage of social safety net programs in richest quintile (% of population)
Coverage of unemployment benefits and ALMP (% of population),per_lm_alllm.cov_pop_tot,per_lm_alllm.cov_pop_tot - Coverage of unemployment benefits and ALMP (% of population)
Coverage of unemployment benefits and ALMP in 2nd quintile (% of population),per_lm_alllm.cov_q2_tot,per_lm_alllm.cov_q2_tot - Coverage of unemployment benefits and ALMP in 2nd quintile (% of population)
Coverage of unemployment benefits and ALMP in 3rd quintile (% of population),per_lm_alllm.cov_q3_tot,per_lm_alllm.cov_q3_tot - Coverage of unemployment benefits and ALMP in 3rd quintile (% of population)
Coverage of unemployment benefits and ALMP in 4th quintile (% of population),per_lm_alllm.cov_q4_tot,per_lm_alllm.cov_q4_tot - Coverage of unemployment benefits and ALMP in 4th quintile (% of population)
Coverage of unemployment benefits and ALMP in poorest quintile (% of population),per_lm_alllm.cov_q1_tot,per_lm_alllm.cov_q1_tot - Coverage of unemployment benefits and ALMP in poorest quintile (% of population)
Coverage of unemployment benefits and ALMP in richest quintile (% of population),per_lm_alllm.cov_q5_tot,per_lm_alllm.cov_q5_tot - Coverage of unemployment benefits and ALMP in richest quintile (% of population)
CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ,IQ.CPA.HRES.XQ - CPIA building human resources rating (1=low to 6=high)
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,IQ.CPA.BREG.XQ - CPIA business regulatory environment rating (1=low to 6=high)
CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ,IQ.CPA.DEBT.XQ - CPIA debt policy rating (1=low to 6=high)
CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,IQ.CPA.ECON.XQ - CPIA economic management cluster average (1=low to 6=high)
CPIA efficiency of revenue mobilization rating (1=low to 6=high),IQ.CPA.REVN.XQ,IQ.CPA.REVN.XQ - CPIA efficiency of revenue mobilization rating (1=low to 6=high)
CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ,IQ.CPA.PRES.XQ - CPIA equity of public resource use rating (1=low to 6=high)
