Indicator Name,Indicator Code,Category,Potential_Categories,Enhanced_Category
"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,Healthcare,"['Healthcare', 'Demographics', 'Gender']",Gender
"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,Healthcare,"['Healthcare', 'Demographics']",Healthcare
"Completeness of birth registration, rural (%)",SP.REG.BRTH.RU.ZS,Healthcare,"['Healthcare', 'Agriculture', 'Demographics']",Healthcare
"Completeness of birth registration, urban (%)",SP.REG.BRTH.UR.ZS,Healthcare,"['Healthcare', 'Infrastructure', 'Demographics']",Healthcare
Completeness of death registration with cause-of-death information (%),SP.REG.DTHS.ZS,Healthcare,"['Healthcare', 'Demographics']",Healthcare
"Compulsory education, duration (years)",SE.COM.DURS,Education,['Education'],Education
"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,Economic,"['Economic', 'Technology']",Economic
"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,Economic,"['Economic', 'Technology']",Economic
"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS,Demographics,"['Demographics', 'Gender']",Gender
"Condom use, population ages 15-24, male (% of males ages 15-24)",SH.CON.1524.MA.ZS,Demographics,['Demographics'],Demographics
Consumer price index (2010 = 100),FP.CPI.TOTL,Economic,['Economic'],Economic
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Economic,"['Economic', 'Demographics']",Economic
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Economic,['Economic'],Economic
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Demographics,"['Demographics', 'Gender']",Gender
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,Demographics,"['Demographics', 'Gender']",Gender
"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS,Labor,"['Labor', 'Gender']",Gender
"Contributing family workers, male (% of male employment) (modeled ILO estimate)",SL.FAM.WORK.MA.ZS,Labor,['Labor'],Labor
"Contributing family workers, total (% of total employment) (modeled ILO estimate)",SL.FAM.WORK.ZS,Labor,['Labor'],Labor
Control of Corruption: Estimate,CC.EST,Governance,"['Governance', 'Law & Justice']",Governance
Control of Corruption: Number of Sources,CC.NO.SRC,Governance,"['Governance', 'Law & Justice']",Governance
Control of Corruption: Percentile Rank,CC.PER.RNK,Governance,"['Governance', 'Law & Justice']",Governance
"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,Governance,"['Governance', 'Law & Justice']",Governance
"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,Governance,"['Governance', 'Law & Justice']",Governance
Control of Corruption: Standard Error,CC.STD.ERR,Governance,"['Governance', 'Law & Justice']",Governance
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Economic,['Economic'],Economic
"Cost of business start-up procedures, female (% of GNI per capita)",IC.REG.COST.PC.FE.ZS,Economic,"['Economic', 'Gender']",Gender
"Cost of business start-up procedures, male (% of GNI per capita)",IC.REG.COST.PC.MA.ZS,Economic,['Economic'],Economic
"Cost to export, border compliance (US$)",IC.EXP.CSBC.CD,Economic,['Economic'],Economic
"Cost to export, documentary compliance (US$)",IC.EXP.CSDC.CD,Economic,['Economic'],Economic
"Cost to import, border compliance (US$)",IC.IMP.CSBC.CD,Economic,['Economic'],Economic
"Cost to import, documentary compliance (US$)",IC.IMP.CSDC.CD,Economic,['Economic'],Economic
Coverage of social insurance programs (% of population),per_si_allsi.cov_pop_tot,Poverty,"['Poverty', 'Demographics', 'Financial Services']",Poverty
Coverage of social insurance programs in 2nd quintile (% of population),per_si_allsi.cov_q2_tot,Poverty,"['Poverty', 'Demographics', 'Financial Services']",Poverty
Coverage of social insurance programs in 3rd quintile (% of population),per_si_allsi.cov_q3_tot,Poverty,"['Poverty', 'Demographics', 'Financial Services']",Poverty
Coverage of social insurance programs in 4th quintile (% of population),per_si_allsi.cov_q4_tot,Poverty,"['Poverty', 'Demographics', 'Financial Services']",Poverty
Coverage of social insurance programs in poorest quintile (% of population),per_si_allsi.cov_q1_tot,Poverty,"['Poverty', 'Demographics', 'Financial Services']",Poverty
Coverage of social insurance programs in richest quintile (% of population),per_si_allsi.cov_q5_tot,Poverty,"['Poverty', 'Demographics', 'Financial Services']",Poverty
Coverage of social protection and labor programs (% of population),per_allsp.cov_pop_tot,Poverty,"['Poverty', 'Demographics', 'Labor']",Poverty
Coverage of social safety net programs (% of population),per_sa_allsa.cov_pop_tot,Poverty,"['Poverty', 'Demographics']",Poverty
Coverage of social safety net programs in 2nd quintile (% of population),per_sa_allsa.cov_q2_tot,Poverty,"['Poverty', 'Demographics']",Poverty
Coverage of social safety net programs in 3rd quintile (% of population),per_sa_allsa.cov_q3_tot,Poverty,"['Poverty', 'Demographics']",Poverty
Coverage of social safety net programs in 4th quintile (% of population),per_sa_allsa.cov_q4_tot,Poverty,"['Poverty', 'Demographics']",Poverty
Coverage of social safety net programs in poorest quintile (% of population),per_sa_allsa.cov_q1_tot,Poverty,"['Poverty', 'Demographics']",Poverty
Coverage of social safety net programs in richest quintile (% of population),per_sa_allsa.cov_q5_tot,Poverty,"['Poverty', 'Demographics']",Poverty
Coverage of unemployment benefits and ALMP (% of population),per_lm_alllm.cov_pop_tot,Demographics,"['Demographics', 'Labor']",Demographics
Coverage of unemployment benefits and ALMP in 2nd quintile (% of population),per_lm_alllm.cov_q2_tot,Poverty,"['Poverty', 'Demographics', 'Labor']",Poverty
Coverage of unemployment benefits and ALMP in 3rd quintile (% of population),per_lm_alllm.cov_q3_tot,Poverty,"['Poverty', 'Demographics', 'Labor']",Poverty
Coverage of unemployment benefits and ALMP in 4th quintile (% of population),per_lm_alllm.cov_q4_tot,Poverty,"['Poverty', 'Demographics', 'Labor']",Poverty
Coverage of unemployment benefits and ALMP in poorest quintile (% of population),per_lm_alllm.cov_q1_tot,Poverty,"['Poverty', 'Demographics', 'Labor']",Poverty
Coverage of unemployment benefits and ALMP in richest quintile (% of population),per_lm_alllm.cov_q5_tot,Poverty,"['Poverty', 'Demographics', 'Labor']",Poverty
CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ,Governance,"['Governance', 'Natural Resources']",Governance
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Economic,"['Economic', 'Climate', 'Governance']",Governance
CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ,Economic,"['Economic', 'Governance']",Economic
CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,Economic,"['Economic', 'Demographics', 'Governance']",Economic
CPIA efficiency of revenue mobilization rating (1=low to 6=high),IQ.CPA.REVN.XQ,Economic,"['Economic', 'Governance']",Economic
CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ,Governance,"['Governance', 'Natural Resources']",Governance
CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ,Economic,"['Economic', 'Governance']",Economic
CPIA fiscal policy rating (1=low to 6=high),IQ.CPA.FISP.XQ,Economic,"['Economic', 'Governance']",Economic
CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,Demographics,"['Demographics', 'Gender', 'Governance']",Gender
CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ,Economic,"['Economic', 'Demographics', 'Governance']",Economic
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Demographics,"['Demographics', 'Governance']",Demographics
CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ,Climate,"['Climate', 'Governance']",Climate
CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,Governance,"['Governance', 'Law & Justice']",Governance
CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,Demographics,"['Demographics', 'Governance']",Demographics
CPIA quality of budgetary and financial management rating (1=low to 6=high),IQ.CPA.FINQ.XQ,Economic,"['Economic', 'Demographics', 'Governance']",Economic
CPIA quality of public administration rating (1=low to 6=high),IQ.CPA.PADM.XQ,Governance,['Governance'],Governance
CPIA social protection rating (1=low to 6=high),IQ.CPA.PROT.XQ,Poverty,"['Poverty', 'Governance']",Poverty
CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ,Demographics,"['Demographics', 'Governance']",Demographics
CPIA trade rating (1=low to 6=high),IQ.CPA.TRAD.XQ,Economic,"['Economic', 'Governance']",Economic
"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,Governance,"['Governance', 'Law & Justice']",Governance
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Agriculture,['Agriculture'],Agriculture
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Economic,['Economic'],Economic
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Financial Services,['Financial Services'],Financial Services
"Current education expenditure, primary (% of total expenditure in primary public institutions)",SE.XPD.CPRM.ZS,Economic,"['Economic', 'Education', 'Governance']",Education
"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",SE.XPD.CSEC.ZS,Economic,"['Economic', 'Education', 'Governance']",Education
"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",SE.XPD.CTER.ZS,Economic,"['Economic', 'Education', 'Governance']",Education
"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,Economic,"['Economic', 'Education', 'Governance']",Education
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Economic,"['Economic', 'Healthcare']",Healthcare
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Economic,"['Economic', 'Healthcare']",Healthcare
"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,Economic,"['Economic', 'Healthcare']",Healthcare
Customs and other import duties (% of tax revenue),GC.TAX.IMPT.ZS,Economic,['Economic'],Economic
Customs and other import duties (current LCU),GC.TAX.IMPT.CN,Economic,['Economic'],Economic
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Healthcare,"['Healthcare', 'Demographics']",Healthcare
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",DT.TDS.DPPF.XP.ZS,Economic,"['Economic', 'Education']",Economic
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,Economic,['Economic'],Economic
"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,Economic,['Economic'],Economic
DEC alternative conversion factor (LCU per US$),PA.NUS.ATLS,Other,[],Other
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,Gender,['Gender'],Gender
Deposit interest rate (%),FR.INR.DPST,Economic,"['Economic', 'Financial Services']",Financial Services
"Depositors with commercial banks (per 1,000 adults)",FB.CBK.DPTR.P3,Economic,"['Economic', 'Financial Services']",Financial Services
Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,Financial Services,['Financial Services'],Financial Services
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Healthcare,"['Healthcare', 'Demographics']",Healthcare
Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),SH.STA.ORCF.ZS,Healthcare,"['Healthcare', 'Financial Services']",Financial Services
Diarrhea treatment (% of children under 5 who received ORS packet),SH.STA.ORTH,Healthcare,"['Healthcare', 'Financial Services']",Financial Services
Disaster risk reduction progress score (1-5 scale; 5=best),EN.CLC.DRSK.XQ,Other,[],Other
Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,Economic,['Economic'],Economic
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,Economic,['Economic'],Economic
Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Economic,"['Economic', 'Financial Services']",Economic
Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,Economic,"['Economic', 'Financial Services']",Economic
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Economic,"['Economic', 'Financial Services']",Financial Services
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Economic,"['Economic', 'Healthcare', 'Governance']",Healthcare
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Economic,"['Economic', 'Healthcare', 'Governance']",Healthcare
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Economic,"['Economic', 'Healthcare', 'Governance']",Healthcare
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Economic,"['Economic', 'Healthcare', 'Governance']",Healthcare
"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,Economic,"['Economic', 'Healthcare', 'Governance']",Healthcare
Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,Economic,"['Economic', 'Healthcare']",Healthcare
Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,Economic,"['Economic', 'Healthcare']",Healthcare
"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,Economic,"['Economic', 'Healthcare']",Healthcare
"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS,Demographics,['Demographics'],Demographics
Ease of doing business rank (1=most business-friendly regulations),IC.BUS.EASE.XQ,Economic,"['Economic', 'Governance']",Economic
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Economic,['Economic'],Economic
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,Education,"['Education', 'Demographics', 'Gender']",Education
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,Education,"['Education', 'Demographics']",Education
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,Education,"['Education', 'Demographics']",Education
"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.LO.FE.ZS,Education,"['Education', 'Demographics', 'Gender']",Education
"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.LO.MA.ZS,Education,"['Education', 'Demographics']",Education
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,Education,"['Education', 'Demographics']",Education
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.PO.FE.ZS,Education,"['Education', 'Demographics', 'Gender']",Education
"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,Education,"['Education', 'Demographics']",Education
